name|title|year|rank|releasedate|agg_genres
De Niro, Robert|Mean Streets (1973)|1973|7.4 |1973/10/14|Crime;Drama
Hoffman, Dustin|All the President's Men (1976)|1976|8.0 |1976/04/09|Drama;Thriller
Martin, Steve (I)|Leap of Faith (1992)|1992|6.0 |1992/12/18|Comedy;Drama;Romance
Chase, Chevy|Under the Rainbow (1981)|1981|5.3 |1981/07/31|Comedy
Lee, Christopher (I)|Horror Express (1972)|1972|6.5 |1973/12/01|Horror;Sci-Fi
Brown, Jim (I)|The Slams (1973)|1973|5.7 |1973/09/26|Action;Drama
Sandler, Adam (I)|Click (2006)|2006|6.4 |2006/06/23|Comedy;Drama;Fantasy;Romance
Lee, Christopher (I)|Nothing But the Night (1973)|1973|5.0 |1975/06/01|Crime;Horror;Mystery;Thriller
Hauer, Rutger|Blind Fury (1989)|1989|6.2 |1990/03/16|Action;Comedy;Crime;Drama;Thriller
Baker, Joe Don|Final Justice (1985)|1985|2.0 |1985/05/01|Action;Crime;Drama
Smith, Will (I)|Shark Tale (2004)|2004|6.0 |2004/10/01|Adventure;Animation;Comedy;Family
Walken, Christopher|The Opportunists (2000)|2000|5.8 |2000/08/11|Comedy;Crime;Drama;Romance
Richard, Pierre (I)|La chèvre (1981)|1981|7.4 |1985/07/26|Adventure;Comedy;Crime
Allen, Tim (I)|Zoom (2006)|2006|4.2 |2006/08/11|Action;Adventure;Family;Sci-Fi
Caine, Michael (I)|The Quiet American (2002)|2002|7.1 |2003/03/07|Drama;Mystery;Romance;Thriller;War
Willis, Bruce|The Sixth Sense (1999)|1999|8.2 |1999/08/06|Drama;Mystery;Thriller
Washington, Denzel|Deja Vu (2006)|2006|7.0 |2006/11/22|Action;Sci-Fi;Thriller
Diesel, Vin|Pitch Black (2000)|2000|7.1 |2000/02/18|Action;Horror;Sci-Fi
Sandler, Adam (I)|Punch-Drunk Love (2002)|2002|7.3 |2002/11/01|Comedy;Drama;Romance
Nolte, Nick|Q & A (1990)|1990|6.5 |1990/04/27|Crime;Drama
Bateman, Jason|The Longest Week (2014)|2014|5.4 |2014/09/05|Comedy;Drama
Myers, Mike (I)|Wayne's World 2 (1993)|1993|6.1 |1993/12/10|Comedy;Music
De Niro, Robert|Cape Fear (1991)|1991|7.3 |1991/11/15|Crime;Thriller
Martin, Steve (I)|Cheaper by the Dozen 2 (2005)|2005|5.4 |2005/12/21|Adventure;Comedy;Family
Chiba, Shin'ichi|Gekitotsu! Satsujin ken (1974)|1974|7.2 |1974/11/01|Action;Crime;Thriller
Gibson, Mel (I)|Mad Max Beyond Thunderdome (1985)|1985|6.2 |1985/07/10|Action;Adventure;Sci-Fi;Thriller
Norris, Chuck|Good Guys Wear Black (1978)|1978|4.9 |1978/06/01|Action
Allen, Woody|Zelig (1983)|1983|7.8 |1983/07/15|Comedy
Cusack, John (I)|Midnight in the Garden of Good and Evil (1997)|1997|6.6 |1997-11-21|Crime;Drama;Mystery;Thriller
Duchovny, David|The Joneses (2009)|2009|6.5 |2010-04-23|Comedy;Drama
Wilder, Gene|Hanky Panky (1982)|1982|5.4 |1982-06-04|Action;Comedy;Crime;Thriller
Price, Vincent (I)|Diary of a Madman (1963)|1963|6.3 |1963-03-06|Horror
Vaughn, Vince|The Break-Up (2006)|2006|5.8 |2006-06-02|Comedy;Drama;Romance
Conway, Tim (I)|The Private Eyes (1980)|1980|6.7 |1980-04-17|Comedy;Mystery
Pearce, Guy (I)|Memento (2000)|2000|8.5 |2001-05-25|Mystery;Thriller
Weaver, Sigourney|Heartbreakers (2001)|2001|6.2 |2001-03-23|Comedy;Crime;Romance
Carrey, Jim|Lemony Snicket's A Series of Unfortunate Events (2004)|2004|6.8 |2004-12-17|Adventure;Comedy;Family;Fantasy
Reeves, Keanu|Street Kings (2008)|2008|6.8 |2008-04-11|Action;Crime;Drama;Thriller
Conway, Tim (I)|The Prize Fighter (1979)|1979|5.3 |1979-11-01|Comedy
Lawrence, Martin (I)|You So Crazy (1994)|1994|6.6 |1994-04-27|Comedy;Documentary
Kidman, Nicole|The Invasion (2007/I)|2007|5.9 |2007-08-17|Sci-Fi;Thriller
Spade, David|Floquet de Neu (2011)|2011|4.5 |2013-09-01|Adventure;Animation;Comedy;Family
Li, Jet (I)|Wong Fei Hung II: Nam yee tung chi keung (1992)|1992|7.5 |1993-09-01|Action;Adventure;Biography;History;Romance
Eckhart, Aaron|In the Company of Men (1997)|1997|7.3 |1997-08-01|Comedy;Drama
Statham, Jason|Crank (2006)|2006|7.0 |2006-09-01|Action;Crime;Thriller
Heston, Charlton (I)|The Last Hard Men (1976)|1976|6.2 |1976-06-01|Western
Kumar, Akshay (I)|Blue (2009/I)|2009|3.7 |2009-10-16|Action;Adventure;Romance;Thriller
Quaid, Dennis|In Good Company (2004)|2004|6.5 |2005-01-14|Comedy;Drama;Romance
Price, Vincent (I)|House of the Long Shadows (1983)|1983|6.4 |1984-04-01|Comedy;Horror;Mystery;Thriller
Neeson, Liam|Taken 2 (2012)|2012|6.3 |2012-10-05|Action;Thriller
Pryor, Richard|Blue Collar (1978)|1978|7.6 |1978-02-10|Crime;Drama
Theron, Charlize|Monster (2003)|2003|7.3 |2004-01-30|Biography;Crime;Drama
Bateman, Jason|Bad Words (2013)|2013|6.7 |2014-03-28|Comedy;Drama
Weaver, Sigourney|Holes (2003)|2003|7.1 |2003-04-18|Adventure;Comedy;Drama;Family;Mystery
Russell, Kurt (I)|Dreamer: Inspired by a True Story (2005)|05|6.9 |2005-10-21|Drama;Family;Sport
Slater, Christian (I)|Julian Po (1997)|1997|6.1 |1997-09-05|Comedy;Drama
Statham, Jason|The Bank Job (2008)|2008|7.3 |2008-03-07|Crime;Drama;Thriller
Atsumi, Kiyoshi|Otoko wa tsurai yo: Boukyou hen (1970)|1970|7.0 |1971-05-28|Comedy
Estevez, Emilio|St. Elmo's Fire (1985)|85|6.3 |1985-06-28|Drama;Romance
Ferrell, Will (I)|Will Ferrell and Kevin Hart's Failed Audition Tapes (2015)|2015|6.0 |2015-03-15|Comedy;Short
Washington, Denzel|Crimson Tide (1995)|95|7.3 |1995-05-12|Action;Drama;Thriller
Saxon, John|The Restless Years (1958)|1958|6.6 |1958-12-01|Drama
Travolta, John (I)|The Forger (2014)|14|5.7 |2015-04-24|Crime;Drama;Thriller
Chong, Billy|Wu zhuang yuan (1980)|1980|6.9 |1981-02-01|Action;Drama
Ameche, Don|Cocoon: The Return (1988)|1988|5.2 |1988-11-23|Adventure;Comedy;Mystery;Romance;Sci-Fi
Belushi, James|Retroactive (1997)|1997|6.3 |1997-01-01|Action;Crime;Drama;Sci-Fi;Thriller
Williams, Robin (I)|The Big White (2005)|05|6.5 |2005-12-03|Comedy;Crime;Drama
Stallone, Sylvester|Assassins (1995)|95|6.3 |1995-10-06|Action;Crime;Thriller
Chase, Chevy|European Vacation (1985)|85|6.1 |1985-07-26|Comedy
Statham, Jason|Transporter 2 (2005)|05|6.3 |2005-09-02|Action;Crime;Thriller
Caine, Michael (I)|Alfie (1966)|1966|7.1 |1966-08-24|Comedy;Drama
Stallone, Sylvester|Rocky III (1982)|1982|6.7 |1982-05-28|Drama;Sport
Dreyfuss, Richard|Piranha 3D (2010)|2010|5.5 |2010-08-20|Comedy;Horror
Keaton, Michael|The Dream Team (1989)|89|6.4 |1989-04-07|Comedy
Li, Jet (I)|War (2007)|2007|6.3 |2007-08-24|Action;Crime;Thriller
Douglas, Michael (I)|It Runs in the Family (2003)|2003|5.5 |2003-04-25|Comedy;Drama;Romance
Chong, Billy|Ji zhao (1979)|1979|6.5 |1981-11-01|Action;Drama
Matsumoto, Rica|Gekijoban Poketto Monsuta besuto uisshu bikutini to kuroki eiyu zekuromu (2011)|2011|6.1 |2011-12-03|Adventure;Animation;Drama;Family;Fantasy
Kilmer, Val|The Saint (1997)|1997|6.2 |1997-04-04|Action;Adventure;Romance;Sci-Fi;Thriller
Travolta, John (I)|Basic (2003)|2003|6.5 |2003-03-28|Action;Crime;Drama;Mystery;Thriller
De Niro, Robert|The Score (2001)|2001|6.8 |2001-07-13|Action;Crime;Romance;Thriller
Witherspoon, Reese|Wild (2014)|14|7.2 |2014-12-19|Adventure;Biography;Drama;History
Martin, Steve (I)|Bowfinger (1999)|99|6.4 |1999-08-13|Comedy
Reeves, Keanu|Knock Knock (2015/I)|2015|6.3 |2015-10-09|Horror;Thriller
Matthau, Walter|Grumpier Old Men (1995)|95|6.6 |1995-12-22|Comedy;Romance
Eastwood, Clint|The Eiger Sanction (1975)|1975|6.4 |1975-05-21|Action;Thriller
Downey Jr., Robert|Sherlock Holmes (2009)|2009|7.6 |2009-12-25|Action;Adventure;Crime;Mystery;Thriller
Downey Jr., Robert|Heart and Souls (1993)|1993|6.9 |1993-08-13|Comedy;Drama;Fantasy;Romance
Sheen, Charlie|Navy Seals (1990)|1990|5.4 |1990-07-20|Action;Adventure;Thriller
Costner, Kevin|The Postman (1997)|1997|5.9 |1997-12-25|Action;Adventure;Drama;Sci-Fi
Cage, Nicolas|National Treasure (2004)|2004|6.9 |2004-11-19|Action;Adventure;Mystery;Thriller
Price, Vincent (I)|Confessions of an Opium Eater (1962)|1962|6.6 |1962-06-20|Crime;Drama;Mystery
Stallone, Sylvester|Over the Top (1987)|1987|5.6 |1987-02-13|Action;Drama;Sport
Jackman, Hugh|X-Men: Days of Future Past (2014)|14|8.1 |2014-05-23|Action;Adventure;Sci-Fi;Thriller
Streep, Meryl|The River Wild (1994)|1994|6.3 |1994-09-30|Action;Adventure;Crime;Thriller
Moore, Roger (I)|Live and Let Die (1973)|1973|6.8 |1973-06-27|Action;Adventure;Thriller
Statham, Jason|The Mechanic (2011)|2011|6.6 |2011-01-28|Action;Crime;Thriller
Fox, Michael J. (I)|Greedy (1994)|1994|6.2 |1994-03-04|Comedy
Hauer, Rutger|The Osterman Weekend (1983)|1983|5.9 |1983-10-14|Action;Drama;Thriller
Hill, Terence (I)|Poliziotto superpiù (1980)|1980|6.3 |1981-10-02|Action;Comedy;Fantasy;Sci-Fi
Lawrence, Martin (I)|Rebound (2005)|05|5.1 |2005-07-01|Comedy;Family;Sport
Weaver, Sigourney|Half Moon Street (1986)|1986|5.3 |1986-09-26|Drama;Thriller
Brosnan, Pierce|After the Sunset (2004)|2004|6.3 |2004-11-12|Action;Comedy;Crime;Drama
Depp, Johnny|Pirates of the Caribbean: Dead Man's Chest (2006)|2006|7.3 |2006-07-07|Action;Adventure;Fantasy
De Niro, Robert|Casino (1995)|95|8.2 |1995-11-22|Biography;Crime;Drama
Stockwell, John (I)|I Shot a Man in Vegas (1995)|95|4.1 |1996-10-18|Drama
Caan, James (I)|The Killer Elite (1975)|1975|6.0 |1975-12-19|Action;Crime;Thriller
Falk, Peter (I)|Cookie (1989)|89|5.2 |1989-08-23|Comedy;Crime
Neeson, Liam|The A-Team (2010)|2010|6.8 |2010-06-11|Action;Adventure;Comedy;Crime;Thriller
Heston, Charlton (I)|Arrowhead (1953)|1953|6.1 |1953-08-03|Drama;Romance;Western
Eastwood, Clint|Gran Torino (2008)|2008|8.2 |2009-01-09|Drama
Cusack, John (I)|Love & Mercy (2014)|14|7.8 |2015-06-19|Biography;Drama;Music
Falk, Peter (I)|Mikey and Nicky (1976)|1976|7.4 |1976-12-21|Drama
Saxon, John|Old Dogs (2009/II)|2009|6.6 |2009-01-01|Comedy;Crime;Drama
Stallone, Sylvester|The Specialist (1994)|1994|5.4 |1994-10-07|Action;Crime;Drama;Romance;Thriller
Li, Jet (I)|The One (2001)|2001|5.9 |2001-11-02|Action;Sci-Fi;Thriller
Kumar, Akshay (I)|Awara Paagal Deewana (2002)|02|6.1 |2002-06-21|Action;Comedy;Crime;Drama
Hanks, Tom|Forrest Gump (1994)|1994|8.  |1994-07-06|Drama;Romance
Nicholson, Jack (I)|The Witches of Eastwick (1987)|1987|6.5 |1987-06-12|Comedy;Fantasy;Horror
Reeves, Keanu|The Replacements (2000)|2000|6.5 |2000-08-11|Comedy;Sport
Nicholson, Jack (I)|The Two Jakes (1990)|1990|6.1 |1990-08-10|Crime;Drama;Mystery;Romance
Carell, Steve|Date Night (2010)|2010|6.3 |2010-04-09|Comedy;Crime;Romance;Thriller
Jovovich, Milla|Resident Evil: Extinction (2007)|2007|6.3 |2007-09-21|Action;Horror;Sci-Fi;Thriller
Katsu, Shintarô|Shin Zatôichi monogatari: Oreta tsue (1972)|1972|7.1 |1973-02-21|Action;Adventure;Drama
Santo (III)|Santo vs. las mujeres vampiro (1962)|1962|3.2 |1963-01-01|Horror
Hanks, Tom|Splash (1984)|1984|6.2 |1984-03-09|Comedy;Fantasy;Romance
Avalon, Frankie|Bikini Beach (1964)|1964|5.3 |1964-07-22|Comedy;Musical;Romance
McGregor, Ewan|Nightwatch (1997)|1997|6.2 |1998-04-17|Drama;Horror;Thriller
Pryor, Richard|Some Kind of Hero (1982)|1982|5.6 |1982-04-02|Comedy;Crime;Drama;War
Hanks, Tom|Toy Story 2 (1999)|99|7.9 |1999-11-24|Adventure;Animation;Comedy;Family;Fantasy
Caan, James (I)|Rollerball (1975)|1975|6.6 |1975-06-25|Action;Sci-Fi;Sport
Williams, Treat|Russicum - I giorni del diavolo (1988)|1988|4.5 |1989-11-01|Crime;Thriller
Eastwood, Clint|High Plains Drifter (1973)|1973|7.6 |1973-08-22|Western
Depardieu, Gérard|Una pura formalità (1994)|1994|7.9 |1995-05-26|Crime;Thriller
Caine, Michael (I)|Deadfall (1968)|1968|5.7 |1968-09-11|Crime;Drama
Jackson, Samuel L.|Resurrecting the Champ (2007)|2007|6.8 |2007-08-24|Drama;Sport
Shatner, William|Star Trek V: The Final Frontier (1989)|89|5.4 |1989-06-09|Action;Adventure;Sci-Fi;Thriller
Nicholson, Jack (I)|Man Trouble (1992)|1992|4.6 |1992-07-17|Comedy;Romance
Caine, Michael (I)|Peeper (1976)|1976|5.8 |1976-01-01|Comedy;Mystery
Hanks, Tom|Philadelphia (1993)|1993|7.7 |1994-01-14|Drama
Van Damme, Jean-Claude|Kickboxer (1989)|89|6.3 |1989-09-08|Action;Sport;Thriller
Chiang, David|Shao Lin wu zu (1974)|1974|7.1 |1979-01-01|Action;Drama
Brody, Adrien|The Pianist (2002)|02|8.5 |2003-03-28|Biography;Drama;War
Garner, James (I)|A Man Could Get Killed (1966)|1966|6.1 |1966-03-25|Comedy
Bannister, Reggie|Phantasm III: Lord of the Dead (1994)|1994|6.0 |1994-05-06|Action;Horror;Sci-Fi
Pine, Chris (I)|Star Trek (2009)|2009|8.0 |2009-05-08|Action;Adventure;Sci-Fi
O'Neal, Ryan (I)|The Thief Who Came to Dinner (1973)|1973|6.2 |1973-03-01|Comedy;Romance
DeVito, Danny|Jack the Bear (1993)|1993|6.4 |1993-04-02|Drama
Caine, Michael (I)|Billion Dollar Brain (1967)|1967|6.1 |1967-12-20|Comedy;Thriller
DeVito, Danny|Hot Dogs for Gauguin (1972)|1972|7.2 |1972-01-01|Short
Chase, Chevy|Caddyshack (1980)|1980|7.4 |1980-07-25|Comedy;Sport
Roberts, Julia (I)|Closer (2004/I)|2004|7.3 |2004-12-10|Drama;Romance
Lawrence, Martin (I)|Blue Streak (1999)|99|6.2 |1999-09-17|Action;Comedy;Crime;Thriller
Diesel, Vin|Furious Seven (2015)|2015|7.5 |2015-04-03|Action;Crime;Thriller
Bridges, Jeff (I)|Starman (1984)|1984|7.0 |1984-12-14|Adventure;Drama;Romance;Sci-Fi
Conway, Tim (I)|Legend of the Paddle: The Oldie Hollis Story (2008)|2008|8.8 |2008-08-07|Comedy;Short
Cube, Ice|Barbershop (2002)|02|6.3 |2002-09-13|Comedy;Drama
Martin, Steve (I)|A Simple Twist of Fate (1994)|1994|6.3 |1994-09-02|Comedy;Drama
Caine, Michael (I)|Dressed to Kill (1980)|1980|7.1 |1980-07-25|Drama;Mystery;Thriller
Van Damme, Jean-Claude|Knock Off (1998)|1998|4.7 |1998-09-04|Action;Comedy;Thriller
Moore, Roger (I)|A View to a Kill (1985)|85|6.3 |1985-05-24|Action;Adventure;Thriller
Singer, Marc (I)|Dead Space (1991)|1991|3.2 |1991-01-21|Horror;Sci-Fi
Willis, Bruce|Die Hard (1988)|1988|8.3 |1988-07-20|Action;Thriller
Ameche, Don|Four Sons (1940)|1940|6.1 |1940-06-14|Drama;History;War
Storch, Larry|Cool Cat (1967)|1967|5.3 |1967-10-14|Animation;Comedy;Family;Short
Craig, Daniel (I)|The Girl with the Dragon Tattoo (2011)|2011|7.9 |2011-12-21|Crime;Drama;Mystery;Thriller
Williams, Robin (I)|License to Wed (2007)|2007|5.2 |2007-07-03|Comedy;Romance
Willis, Bruce|Tears of the Sun (2003)|2003|6.6 |2003-03-07|Action;Drama;Thriller;War
McGregor, Ewan|Big Fish (2003)|2003|8.0 |2004-01-09|Adventure;Drama;Fantasy
Fahey, Jeff|Marriage Retreat (2011)|2011|5.1 |2011-01-01|Comedy;Drama
Cusack, John (I)|Martian Child (2007)|2007|6.8 |2007-11-02|Comedy;Drama;Family
Slater, Christian (I)|Mobsters (1991)|1991|5.8 ||Crime;Drama
Costner, Kevin|Waterworld (1995)|95|6.1 |1995-07-28|Action;Adventure;Sci-Fi;Thriller
Roberts, Eric (I)|The Night Never Sleeps (2012)|2012|7.7 |2012-07-13|Action;Drama
Trejo, Danny|Reaper (2014/I)|2014|5.1 |2015-06-06|Crime;Horror;Sci-Fi;Thriller
Ferrell, Will (I)|Semi-Pro (2008)|2008|5.8 |2008-02-29|Comedy;Sport
McDowall, Roddy|The Adventures of Bullwhip Griffin (1967)|1967|6.7 |1967-03-08|Action;Adventure;Comedy;Family;Western
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajiro kamifusen (1981)|1981|6.6 |1982-06-01|Comedy
Li, Bruce (I)|Shen long (1978)|1978|7.0 |1984-01-01|Action;Drama
Hackman, Gene|The Royal Tenenbaums (2001)|2001|7.6 |2002-01-04|Comedy;Drama
Perry, Tyler (I)|I Can Do Bad All by Myself (2009)|2009|4.0 |2009-09-11|Comedy;Drama
Babu, Mahesh (I)|Athadu (2005)|2005|8.5 |2005-08-10|Action;Comedy;Musical;Romance;Thriller
Lambert, Christopher (I)|Fortress (1992)|1992|5.8 |1993-09-03|Action;Crime;Sci-Fi;Thriller
Taylor, Veronica (I)|Gekijouban Poketto monsutâ Adobansu jenerêshon: Nanayo no negaiboshi Jirâchi (2003)|2003|5.9 |2004-06-01|Action;Adventure;Animation;Family;Sci-Fi
Nicholson, Jack (I)|Prizzi's Honor (1985)|1985|6.8 |1985-06-14|Comedy;Crime;Drama;Romance
Hoffman, Dustin|Straw Dogs (1971)|1971|7.5 |1971-12-22|Crime;Drama;Thriller
Willis, Bruce|Armageddon (1998)|1998|6.6 |1998-07-01|Action;Adventure;Sci-Fi;Thriller
Weaver, Sigourney|Aliens (1986)|1986|8.4 |1986-07-18|Action;Horror;Sci-Fi
Martin, Steve (I)|Sgt. Bilko (1996)|1996|5.7 |1996-03-29|Comedy
Wang, Yu (I)|Long hu dou (1970)|1970|6.9 |1973-06-01|Action;Crime
Lee, Christopher (I)|Theatre of Death (1967)|1967|5.7 |1967-11-01|Horror;Mystery;Thriller
Willis, Bruce|Cop Out (2010)|2010|5.7 |2010-02-26|Action;Comedy;Crime
Schemmel, Sean|Doragon bôru Z: Chikyû marugoto chô kessen (1990)|1990|7.2 |1998-03-17|Action;Adventure;Animation;Sci-Fi
Jackson, Samuel L.|African Cats (2011)|2011|7.6 |2011-04-22|Adventure;Documentary
Guttenberg, Steve|Police Academy (1984)|1984|6.6 |1984-03-23|Comedy
Ford, Harrison (I)|Frantic (1988)|1988|6.9 |1988-02-26|Crime;Drama;Mystery;Thriller
McDowall, Roddy|Black Midnight (1949)|1949|6.4 |1949-10-02|Drama;Western
Martin, Steve (I)|Mixed Nuts (1994)|1994|5.3 |1994-12-21|Comedy;Drama
Fahey, Jeff|True Blood (1989)|1989|5.4 |1989-04-28|Action;Drama
Shaw, Scott (I)|Undercover X (2001)|2001|7.2 |2001-08-02|Action
O'Neal, Ryan (I)|Barry Lyndon (1975)|1975|8.1 |1975-12-18|Adventure;Drama;History;War
Stallone, Sylvester|Get Carter (2000)|2000|5.1 |2000-10-06|Action;Crime;Drama;Thriller
Myers, Mike (I)|Austin Powers: International Man of Mystery (1997)|1997|7.0 |1997-05-02|Comedy;Crime;Sci-Fi
Goldberg, Whoopi|Sister Act (1992)|1992|6.2 |1992-05-29|Comedy;Music
Walken, Christopher|A Business Affair (1994)|1994|5.6 |1995-12-08|Comedy;Romance
Depardieu, Gérard|Le plus beau métier du monde (1996)|1996|5.7 |1997-03-28|Drama
Cruise, Tom|The Firm (1993)|1993|6.8 |1993-06-30|Drama;Mystery;Thriller
Connery, Sean|The Rock (1996)|1996|7.4 |1996-06-07|Action;Adventure;Thriller
Norris, Chuck|The Hitman (1991)|1991|5.2 |1991-10-25|Action;Crime;Thriller
Owen, Clive (I)|Children of Men (2006)|2006|7.9 |2007-01-05|Drama;Sci-Fi;Thriller
Williams, Robin (I)|The Best of Times (1986)|1986|5.9 |1986-01-31|Comedy;Drama;Sport
Barrymore, Drew|Home Fries (1998)|1998|5.0 |1998-11-25|Comedy;Drama;Romance
Carrey, Jim|The Cable Guy (1996)|1996|6.0 |1996-06-14|Comedy;Drama;Thriller
Franchi, Franco|002 agenti segretissimi (1964)|1964|5.9 |1966-03-25|Action;Comedy
Stallone, Sylvester|Rambo III (1988)|1988|5.7 |1988-05-25|Action;Adventure;Thriller;War
Quaid, Dennis|D.O.A. (1988)|1988|6.1 |1988-03-18|Mystery;Thriller
Hanks, Tom|Bachelor Party (1984)|1984|6.2 |1984-06-29|Comedy
Stallone, Sylvester|Rocky Balboa (2006)|2006|7.2 |2006-12-20|Drama;Sport
De Niro, Robert|We're No Angels (1989)|1989|6.0 |1989-12-15|Comedy;Crime
Schwarzenegger, Arnold|Conan the Destroyer (1984)|1984|5.8 |1984-06-29|Action;Adventure;Fantasy
Chan, Jackie (I)|Jing cha gu shi 2013 (2013)|2013|6.2 |2015-06-05|Action;Crime;Drama;Thriller
Bachchan, Amitabh|Aarakshan (2011)|2011|6.2 |2011-08-12|Drama;Thriller
Black, Jack (I)|Nacho Libre (2006)|2006|5.7 |2006-06-16|Comedy;Family;Sport
Cusack, John (I)|Reclaim (2014)|2014|5.0 |2014-09-19|Drama;Thriller
Richard, Pierre (I)|Shekvarebuli kulinaris ataserti retsepti (1996)|1996|6.8 |1997-04-23|Comedy;Romance
Nolte, Nick|Cannery Row (1982)|1982|6.6 |1982-02-12|Comedy;Drama
Martin, Steve (I)|Father of the Bride Part II (1995)|1995|5.9 |1995-12-08|Comedy
Nolte, Nick|Under Fire (1983)|1983|7.0 |1983-10-21|Drama;War
Myers, Mike (I)|So I Married an Axe Murderer (1993)|1993|6.4 |1993-07-30|Comedy;Crime;Romance;Thriller
Sweeney, D.B.|Fire in the Sky (1993)|1993|6.5 |1993-03-12|Biography;Drama;Mystery;Sci-Fi
Chan, Jackie (I)|Around the World in 80 Days (2004)|2004|5.8 |2004-06-16|Action;Adventure;Comedy
Fahey, Jeff|The Hit List (1993)|1993|6.2 |1993-01-17|Action;Thriller
Perry, Tyler (I)|Madea's Big Happy Family (2011)|2011|4.4 |2011-04-22|Comedy;Drama
Hawn, Goldie|Private Benjamin (1980)|1980|6.1 |1980-10-10|Comedy;War
De Niro, Robert|15 Minutes (2001)|2001|6.1 |2001-03-09|Action;Crime;Drama;Thriller
Bridges, Jeff (I)|TRON: Legacy (2010)|2010|6.8 |2010-12-17|Action;Adventure;Fantasy;Sci-Fi
Bannister, Reggie|One for the Road (2011/I)|2011|7.5 |2012-03-01|Horror;Short
Walker, Paul (I)|Brick Mansions (2014)|2014|5.7 |2014-04-25|Action;Crime;Drama;Thriller
De Niro, Robert|The Big Wedding (2013)|2013|5.6 |2013-04-26|Comedy
Smith, Will (I)|Men in Black 3 (2012)|2012|6.9 |2012-05-25|Action;Comedy;Sci-Fi
Butler, Gerard|Dracula 2000 (2000)|2000|4.9 |2000-12-22|Horror;Thriller
Martin, Steve (I)|The Lonely Guy (1984)|1984|6.2 |1984-01-27|Comedy
Douglas, Michael (I)|Falling Down (1993)|1993|7.6 |1993-02-26|Drama;Thriller
Spade, David|Lost & Found (1999/I)|1999|5.0 |1999-04-23|Comedy;Romance
Dreyfuss, Richard|The Competition (1980)|1980|6.7 |1980-12-03|Drama;Music;Romance
Akkineni, Nagarjuna|Greeku Veerudu (2013)|2013|4.6 |2013-05-02|Drama
Sheen, Charlie|The Wraith (1986)|1986|5.8 |1986-11-21|Action;Horror;Romance;Sci-Fi;Thriller
Crystal, Billy|When Harry Met Sally... (1989)|1989|7.6 |1989-07-21|Comedy;Drama;Romance
Liotta, Ray|Chasing 3000 (2010)|2010|6.5 |2010-07-16|Family;Sport
Goldberg, Whoopi|Made in America (1993)|1993|4.9 |1993-05-28|Comedy
Walken, Christopher|The Funeral (1996)|1996|6.6 |1996-11-01|Crime;Drama
Hackman, Gene|Full Moon in Blue Water (1988)|1988|5.6 |1988-11-23|Comedy;Drama;Romance
Diesel, Vin|Furious 6 (2013)|2013|7.2 |2013-05-24|Action;Crime;Thriller
Culkin, Macaulay|Getting Even with Dad (1994)|1994|4.5 |1994-06-17|Comedy;Crime;Family
Cruise, Tom|War of the Worlds (2005)|2005|6.5 |2005-06-29|Adventure;Sci-Fi;Thriller
Depp, Johnny|The Libertine (2004)|2004|6.4 |2006-03-10|Drama
Belushi, James|Sugar or Plain (1984)|1984|7.6 |1984-04-07|Comedy;Short
Reeves, Keanu|The Lake House (2006)|2006|6.8 |2006-06-16|Drama;Fantasy;Romance
Belushi, James|The Principal (1987)|1987|6.2 |1987-09-18|Action;Crime;Drama;Thriller
Nicholson, Jack (I)|Something's Gotta Give (2003)|2003|6.7 |2003-12-12|Comedy;Drama;Romance
Walker, Paul (I)|Timeline (2003)|2003|5.6 |2003-11-26|Action;Adventure;Sci-Fi
Quaid, Dennis|Cold Creek Manor (2003)|2003|4.9 |2003-09-19|Drama;Horror;Mystery;Thriller
Travolta, John (I)|Primary Colors (1998)|1998|6.7 |1998-03-20|Comedy;Drama
Nielsen, Leslie|The Battle of Gettysburg (1955)|1955|6.8 |1955-01-01|Documentary;History;Short
Babu, Mahesh (I)|Dookudu (2011)|2011|7.7 |2011-09-23|Action;Comedy
Hanks, Tom|Hawaiian Vacation (2011)|2011|7.6 |2011-06-24|Animation;Comedy;Family;Short
Statham, Jason|Crank: High Voltage (2009)|2009|6.2 |2009-04-17|Action;Crime;Thriller
Downey Jr., Robert|Avengers: Age of Ultron (2015)|2015|7.9 |2015-05-01|Action;Adventure;Sci-Fi
Wilson, Luke (I)|Henry Poole Is Here (2008)|2008|6.5 |2008-08-15|Comedy;Drama
Neeson, Liam|Non-Stop (2014)|2014|7.0 |2014-02-28|Action;Mystery;Thriller
Reynolds, Ryan (I)|Smokin' Aces (2006)|2006|6.7 |2007-01-26|Action;Crime;Drama;Thriller
Gibson, Mel (I)|Lethal Weapon (1987)|1987|7.6 |1987-03-06|Action;Crime;Thriller
Washington, Denzel|Man on Fire (2004)|2004|7.8 |2004-04-23|Action;Crime;Drama;Thriller
Fox, Michael J. (I)|Homeward Bound II: Lost in San Francisco (1996)|1996|5.8 |1996-03-08|Adventure;Comedy;Family;Romance
Carradine, David|Nowhere to Run (1989)|1989|5.0 |1989-03-01|Drama;Thriller
Dudikoff, Michael|Platoon Leader (1988)|1988|5.3 |1988-10-01|Drama;War
Beatty, Warren (I)|Bonnie and Clyde (1967)|1967|7.9 |1967-08-13|Biography;Crime;Drama
Bullock, Sandra|Gravity (2013)|2013|7.9 |2013-10-04|Sci-Fi;Thriller
